Response ID,Date,Score,Taxonomy Type,Response Text,Translated Text,Page URL,vader_negative,vader_neutral,vader_positive,vader_compound,sentiment_label
175251676,"Feb 04, 2026",10,,extremely helpful,,Dashboard Page,0.0,0.244,0.756,0.4754,positive
175243985,"Feb 04, 2026",10,,bestes crm! ;),,Dashboard Page,0.0,0.477,0.523,0.2942,positive
175251848,"Feb 04, 2026",10,,Easy to use and mobile app is good,,Globalhome Page,0.0,0.508,0.492,0.7003,positive
175210840,"Feb 04, 2026",0,Performance,ã‚¯ãƒ©ã‚¦ãƒ‰ãŒé‡ã„ã§ã™,The cloud is heavy,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175225927,"Feb 04, 2026",8,,Semplice nell'utilizzo e completo,,Dashboard Page,,,,,unscored
175252785,"Feb 04, 2026",10,,Ease of set-up,,Dashboard Page,0.0,0.444,0.556,0.3612,positive
175241811,"Feb 04, 2026",2,,"Why, why, why can't I star any amount of reports and dashboards I want?  I lead four post-sale customer functions, and I have a lot of reports and dashboards.  Only being able to star 10 has me looking for other solutions.",,Dashboard Page,0.0,0.929,0.071,0.25,positive
175231653,"Feb 04, 2026",1,,"report building is atrocious - no sense, too many data sets, cant get any where when trying to build simple reports requests from clients, honestly the major thing that lets hubspot down entirely",,Dashboard Page,0.061,0.856,0.083,0.2023,positive
175215974,"Feb 04, 2026",5,Usability,å—ä¿¡ãƒˆãƒ¬ã‚¤ã®ãƒ¡ãƒ¼ãƒ«ã®ç®¡ç†ãŒã—ã¥ã‚‰ã„,It is difficult to manage emails in the inbox,Dashboard Page,0.238,0.762,0.0,-0.3612,negative
175232504,"Feb 04, 2026",10,,Reaaaaalllly nice,,Dashboard Page,,,,,unscored
175253129,"Feb 04, 2026",10,,It's a great platform that helps me market my businesses and manage my pipelines.,,Dashboard Page,0.0,0.642,0.358,0.7717,positive
175252885,"Feb 04, 2026",10,,Es el merjor CRM EVER,,Dashboard Page,,,,,unscored
175251980,"Feb 04, 2026",0,,lentiud,,Dashboard Page,,,,,unscored
175225740,"Feb 04, 2026",10,,Super responsive and intuitive to use - I literally live my working life by it!,,Dashboard Page,0.0,0.66,0.34,0.7712,positive
175256289,"Feb 04, 2026",10,,"HubSpot is the most flexible and reliable CRM I've ever used. Every department of our organization - from marketing and sales, to service, accounting and operations -  is able to achieve more thanks to their HubSpot tools.",,Dashboard Page,0.0,0.867,0.133,0.6582,positive
175222490,"Feb 04, 2026",7,,Hilfreich und grÃ¶ÃŸtenteils Ã¼bersichtlich,,Dashboard Page,,,,,unscored
175240597,"Feb 04, 2026",9,,A veces se traba la plataforma.,,Dashboard Page,,,,,unscored
175250323,"Feb 04, 2026",9,,"going to click on a box, then the box moves out from under the mouse-pointer.  Not a big deal.",,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175211699,"Feb 04, 2026",9,Functionality,"You're good at almost everything, subscription data is the only downside. Being able to track upsell, downsell, nrr etc against companies would be elite.",,Globalhome Page,0.074,0.818,0.108,0.2263,positive
175188025,"Feb 03, 2026",10,General,It has all the tools under one roof,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175192015,"Feb 03, 2026",9,Usability,Es muy completo pero a veces no es tan intuitivo,It is very complete but sometimes not very intuitive,Globalhome Page,0.0,1.0,0.0,0.0,neutral
175189101,"Feb 03, 2026",2,Usability,"Everything costs money, difficult to set up, and learning how to use the platform is a full time job.",,Globalhome Page,0.122,0.878,0.0,-0.3612,negative
175161968,"Feb 03, 2026",2,Functionality,Tickets dont fire off as hoped and email response time tracking is inaccurate,,Dashboard Page,0.0,0.704,0.296,0.5627,positive
175202163,"Feb 03, 2026",10,Usability,usabilidad,Usability,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175176971,"Feb 03, 2026",10,General,je suis tres satisfaite,I am very satisfied,Dashboard Page,0.0,0.492,0.508,0.4754,positive
175165857,"Feb 03, 2026",2,Functionality,multiple plastfotm to update same data. also hibspot not detail enough,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175170326,"Feb 03, 2026",0,Usability,Always choppy line,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175188779,"Feb 03, 2026",0,Usability,Dashboarding is a tragedy,,Dashboard Page,0.595,0.405,0.0,-0.6597,negative
175184850,"Feb 03, 2026",0,General,so messed up this is,,Dashboard Page,0.402,0.598,0.0,-0.4005,negative
175210185,"Feb 03, 2026",7,Reliability,Had to reboot as could not key in new customer,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175195959,"Feb 03, 2026",9,General,CRM trÃ¨s bien,CRM very good,Globalhome Page,0.0,0.385,0.615,0.4927,positive
175188211,"Feb 03, 2026",2,General,"more expensive and less customizable than salesforce. cheap tiers are fine if you just need 'something', but more expensive than salesforce once you get all the addons",,Dashboard Page,0.0,0.949,0.051,0.1027,positive
175195531,"Feb 03, 2026",9,Usability,Integra as Ã¡reas e mantÃªm as informaÃ§Ãµes. A implantaÃ§Ã£o ainda Ã© um pouco dolorida. Senti falta de treinamentos na parte de relatÃ³rios,Integrates areas and keeps information. The implementation is still a bit painful. I felt the lack of training in the reporting part.,Dashboard Page,0.206,0.794,0.0,-0.6369,negative
175198808,"Feb 03, 2026",10,Usability,I love CRM is a great tool to keep you organize and more productive.,,Dashboard Page,0.0,0.591,0.409,0.8519,positive
175195909,"Feb 03, 2026",10,Usability,FÃ¡cil acesso.,Easy access,Dashboard Page,0.0,0.256,0.744,0.4404,positive
175194424,"Feb 03, 2026",0,Usability,its a mess,,Dashboard Page,0.556,0.444,0.0,-0.3612,negative
175181176,"Feb 03, 2026",10,General,"Helps 10X your business and has so much potential and reduces so much stress, time and workload once trained to use it which you can do as you go along.",,Dashboard Page,0.091,0.831,0.077,-0.1226,negative
175209285,"Feb 03, 2026",10,General,thank,,Globalhome Page,0.0,0.0,1.0,0.3612,positive
175202498,"Feb 03, 2026",3,General,For someone that is like myself I can not afford the higher plans just so I can use SEO. I can not afford that! I am not a fan of the blog set up as I am not able to make the page look nicer or easier to navigate. This is due to only being allowed 1. I wont pay that much for that when there are plenty of online sites to host my business. I am actually working on switching here in the next 2 to 3 weeks.,,Dashboard Page,0.02,0.877,0.102,0.7799,positive
175202023,"Feb 03, 2026",10,General,The amazing versatility! I wish I had learned this years ago.,,Dashboard Page,0.0,0.57,0.43,0.7777,positive
175200450,"Feb 03, 2026",9,Functionality,Consolidated tech stack and quality of tool functionality.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175198407,"Feb 03, 2026",0,Usability,"Ferramenta confusa e complexa. Base de conhecimento nÃ£o ajuda em nada. CS nÃ£o consegue orientar. RelatÃ³rios com os mesmos filtros, entregam dados diferentes. Uso porque, sou obrigada.",Confusing and complex tool. The knowledge base doesn't help at all. CS can't guide. Reports with the same filters deliver different data. I use it because I am forced to.,Dashboard Page,0.21,0.79,0.0,-0.7317,negative
175185423,"Feb 03, 2026",7,Usability,bon outil mais difficile pour la prise en main + suivi des mises Ã  jour,a good tool but difficult to get started with + tracking updates,Globalhome Page,0.214,0.658,0.128,-0.3182,negative
175167245,"Feb 03, 2026",10,General,Features,,Dashboard Page,,,,,unscored
175189930,"Feb 03, 2026",5,General,okay,,Dashboard Page,,,,,unscored
175160586,"Feb 03, 2026",10,General,Beats Salesforce by a mile.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175193717,"Feb 03, 2026",3,Usability,the android app is impossible,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175183901,"Feb 03, 2026",10,Usability,SE TRABAJA MUY ORGANIZADO,It is very well organized,Dashboard Page,0.0,0.626,0.374,0.3384,positive
175205114,"Feb 03, 2026",8,Functionality,not easy to send sequences,,Dashboard Page,0.376,0.624,0.0,-0.3412,negative
175184331,"Feb 03, 2026",0,Usability,"too many navigation graphics, heavy, not customisable enough for a heavy workflow",,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175136381,"Feb 02, 2026",0,Usability,"Interface is Janky, too many categories and buttons, not user intuitive",,Globalhome Page,0.0,1.0,0.0,0.0,neutral
175135203,"Feb 02, 2026",0,Usability,it is not user friendly at all.,,Dashboard Page,0.305,0.695,0.0,-0.3875,negative
175137690,"Feb 02, 2026",9,Usability,Ayuda a tu gestiÃ³n y tener el control y el seguimiento adecuado,Helps with your management and having proper control and tracking,Dashboard Page,0.0,0.776,0.224,0.3818,positive
175119697,"Feb 02, 2026",3,Usability,It's not build for effcient agent work,,Globalhome Page,0.0,1.0,0.0,0.0,neutral
175132445,"Feb 02, 2026",6,Usability,"HubSpot is a powerful platform, but in day-to-day use it can be difficult to maneuver, especially when working with large, multi-state account lists.

One of the biggest challenges is the lack of simple sorting and filtering by state. Tasks that should be straightforwardâ€”such as quickly viewing accounts by geographic regionâ€”often require workarounds, custom properties, or advanced filters that arenâ€™t intuitive.

Reporting is another pain point. Creating meaningful, customized reports can feel overly complex and time-consuming. The report builder has a learning curve, and even after investing time, it can be difficult to generate reports that clearly reflect real-world sales activity without significant manual effort.

Overall, HubSpot has strong capabilities, but the user experience around navigation, list management, and reporting could be more streamlinedâ€”especially for teams that rely heavily on territory-based selling and data visibility.",,Dashboard Page,0.099,0.778,0.123,0.4238,positive
175152021,"Feb 02, 2026",3,Usability,dificil de mexer com essa usabilidade,Difficult to use with this usability,Dashboard Page,0.333,0.667,0.0,-0.3612,negative
175144775,"Feb 02, 2026",10,General,the best CRM I have ever used and I have used many.,,Dashboard Page,0.0,0.724,0.276,0.6369,positive
175136651,"Feb 02, 2026",0,Usability,difficult,,Dashboard Page,,,,,unscored
175135095,"Feb 02, 2026",10,Usability,lo intuitivo y fÃ¡cil de usar,It is intuitive and easy to use,Dashboard Page,0.0,0.674,0.326,0.4404,positive
175141834,"Feb 02, 2026",0,Performance,es muy lento,It is very slow,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175138776,"Feb 02, 2026",10,General,Funnel,,Dashboard Page,,,,,unscored
175139385,"Feb 02, 2026",10,General,Tienes todo en una misma Plataforma.,You have everything on a single platform.,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175150116,"Feb 02, 2026",0,Functionality,fulfillment issues.,,Globalhome Page,,,,,unscored
175125418,"Feb 02, 2026",10,Usability,Very helpful,,Globalhome Page,0.0,0.244,0.756,0.4754,positive
175147915,"Feb 02, 2026",0,Reliability,Tech issues almost daily,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175121091,"Feb 02, 2026",10,Usability,For Easy Manaagable User Interface and  association in one Contact is very good concept,,Dashboard Page,0.0,0.663,0.337,0.7264,positive
175153475,"Feb 02, 2026",7,General,I would only recommend HubSpot if asked.,,Dashboard Page,0.0,0.706,0.294,0.3612,positive
175109702,"Feb 02, 2026",0,Reliability,My numbers are never correct.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175139921,"Feb 02, 2026",8,Usability,simple interface,,Dashboard Page,,,,,unscored
175126447,"Feb 02, 2026",10,Usability,"Pratique, claire et efficace","Practicing, clear, and effective",Dashboard Page,0.0,0.26,0.74,0.6908,positive
175139087,"Feb 02, 2026",0,Functionality,"Seems like it is built by a child with no real world understanding of workflow. Some of the most basic functionality, duplicating deals for example, is missing.",,Dashboard Page,0.142,0.777,0.081,-0.2263,negative
175139305,"Feb 02, 2026",10,General,I LOVE ITTTTTT,,Globalhome Page,,,,,unscored
175147534,"Feb 02, 2026",0,Usability,just confusing,,Dashboard Page,,,,,unscored
175123316,"Feb 02, 2026",2,Usability,complexiteit,complexity,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175133746,"Feb 02, 2026",10,Usability,fÃ¡cil visualizaÃ§Ã£o,Easy visualization,Globalhome Page,0.0,0.256,0.744,0.4404,positive
175115127,"Feb 02, 2026",3,Functionality,data model makes querying a disaster,,Dashboard Page,,,,,unscored
175116462,"Feb 02, 2026",9,Usability,ease of use and available data options,,Dashboard Page,0.0,0.706,0.294,0.3612,positive
175142448,"Feb 02, 2026",3,Expectation Gap,you keep taking features away and then charging for them,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175145527,"Feb 02, 2026",8,Usability,Extremely Useful,,Dashboard Page,0.0,0.238,0.762,0.4927,positive
175134320,"Feb 02, 2026",9,Usability,Easy to use.,,Dashboard Page,0.0,0.408,0.592,0.4404,positive
175141488,"Feb 02, 2026",10,Usability,Quick access to information.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175114484,"Feb 02, 2026",8,Usability,"Love Hubspot
A couple of the last display changes has made it a little confusing to know if I'm in a contact / deal /  ticket etc.",,Dashboard Page,0.052,0.812,0.136,0.5563,positive
175125200,"Feb 02, 2026",5,Usability,"Slow, call quality isn't great, more clicking than needed to find educational establishments or lead enquiry information",,Dashboard Page,0.171,0.829,0.0,-0.5096,negative
175107320,"Feb 02, 2026",9,Functionality,è‡ªç”±åº¦ãŒé«˜ãã€ãƒ¬ãƒãƒ¼ãƒˆã‚„ãƒ€ãƒƒã‚·ãƒ¥ãƒœãƒ¼ãƒ‰ã€ãŠã‚ˆã³ã€€é¡§å®¢ç®¡ç†ãƒ‡ãƒ¼ã‚¿ãƒ™ãƒ¼ã‚¹ã‚’å½¢æˆã§ãã‚‹ãŸã‚,"Highly flexible, allowing the creation of reports, dashboards, and a customer management database",Dashboard Page,0.0,0.719,0.281,0.5095,positive
175151592,"Feb 02, 2026",2,Functionality,Sehr langsame UI und viele Funktionen bei der Telefonie oder Formularen die selbstverstÃ¤ndlich oder Basic sein mÃ¼ssten sind mit Hubspot nicht mÃ¶glich.,Very slow UI and many functions for telephone or forms that should be basic are not possible with HubSpot.,Globalhome Page,0.0,1.0,0.0,0.0,neutral
175084699,"Feb 01, 2026",10,General,superb,,Dashboard Page,,,,,unscored
175027275,"Jan 31, 2026",10,Usability,"Load time, tech support, and ease of navigation.",,Dashboard Page,0.0,0.536,0.464,0.6369,positive
175064838,"Jan 31, 2026",3,Usability,clunky and hard to use,,Dashboard Page,0.259,0.741,0.0,-0.1027,negative
175065198,"Jan 31, 2026",10,Usability,PORQUE AQUI ME AYUDA A DAR SEGUIMIENTO DE TODAS MIS GESTIONES,Because it helps me track all my management activities here,Dashboard Page,0.0,0.776,0.224,0.3818,positive
175056397,"Jan 31, 2026",2,Usability,UI and logic of using solution is really bad.,,Dashboard Page,0.29,0.535,0.176,-0.3597,negative
175029436,"Jan 31, 2026",10,Usability,LA FACILIDAD  DE USO,Ease of use,Dashboard Page,0.0,0.444,0.556,0.3612,positive
175060474,"Jan 31, 2026",10,Usability,HELPS ME KEEP UP WITH MY TASK.  CUSTOMERS ALL IN ONE LOCATION IS WONDERFUL!,,Dashboard Page,0.0,0.645,0.355,0.7644,positive
175007159,"Jan 30, 2026",10,General,.,,Dashboard Page,,,,,unscored
175008110,"Jan 30, 2026",2,Usability,The product is just a mess of design...it's clearly showing it's age and takes so much work to keep things running correctly.,,Dashboard Page,0.099,0.794,0.107,0.0516,positive
175005020,"Jan 30, 2026",7,General,.,,Dashboard Page,,,,,unscored
175012944,"Jan 30, 2026",10,Usability,facilidade na utilizaÃ§Ã£o,Ease of use,Dashboard Page,0.0,0.444,0.556,0.3612,positive
175003278,"Jan 30, 2026",9,Usability,facilidad d uso y es muy completo,Ease of use and very comprehensive,Dashboard Page,0.0,0.455,0.545,0.5849,positive
175015664,"Jan 30, 2026",6,Functionality,better AI prospecting tools. Need a more robust deal page that allow you to look through closed lost deals with more granular filters.,,Dashboard Page,0.08,0.66,0.26,0.6361,positive
175011511,"Jan 30, 2026",6,Functionality,Inconsistent tracking.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175001483,"Jan 30, 2026",10,Usability,Muy intuitivo de usar y ademÃ¡s con IA que tiene integrada cualquier dificultad te ayuda a solucionarla.,Very intuitive to use and also has AI integrated that helps solve any difficulties.,Globalhome Page,0.125,0.625,0.25,0.296,positive
175001580,"Jan 30, 2026",6,Usability,"The email functionality is not intuitive, at all. Hardly any options to customize my Inbox and other folders.",,Globalhome Page,0.0,1.0,0.0,0.0,neutral
174993872,"Jan 30, 2026",7,Functionality,"very good overall, but extremely annoying that native Hubspot objects are sometimes not customizable at all. It really doesn't make sense",,Dashboard Page,0.159,0.757,0.084,-0.4391,negative
174997174,"Jan 30, 2026",10,Usability,Es muy amigable y funcional,It is very friendly and functional,Dashboard Page,0.0,0.589,0.411,0.5413,positive
174976459,"Jan 30, 2026",0,General,it sucks,,Dashboard Page,0.714,0.286,0.0,-0.3612,negative
175005469,"Jan 30, 2026",2,Performance,"everything is so freaking slow, not internet. no matter where i am running reports, etc.",,Dashboard Page,0.205,0.736,0.06,-0.5516,negative
175008935,"Jan 30, 2026",7,Expectation Gap,Pricing incredibly high and exponentially growing every year ; complexity,,Dashboard Page,0.0,0.841,0.159,0.1779,positive
174998184,"Jan 30, 2026",3,Performance,pas assez intuitif trop lent,Not intuitive and too slow,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175017901,"Jan 30, 2026",10,Usability,"Sumamente practico, organiza bien las informaciÃ³n.","Very practical, it organizes information well.",Dashboard Page,0.0,0.704,0.296,0.2732,positive
174974865,"Jan 30, 2026",10,General,call me 424-877-2291,,Dashboard Page,,,,,unscored
174978729,"Jan 30, 2026",2,Expectation Gap,Los precios son bastante elevados para todas las limitantes que tiene la herramienta.,The prices are quite high for all the limitations the tool has.,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175019111,"Jan 30, 2026",9,Usability,Intuitive,,Globalhome Page,,,,,unscored
174994212,"Jan 30, 2026",0,Performance,es hÃ¤ngt alles und lÃ¤uft nicht flÃ¼ssig. So kann man nicht Arbieten.,Everything is hanging and not running smoothly. So you can't work.,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175020101,"Jan 30, 2026",10,General,Great CRM with many tools to help you do whatever you need.,,Dashboard Page,0.0,0.595,0.405,0.7783,positive
175003160,"Jan 30, 2026",0,Reliability,Notizen plÃ¶tzlich verschwunden bei mehreren Mitarbeitern. Lange Ladezeiten oder gar kein Laden von Inhalten.,Notes suddenly disappeared for several employees. Long loading times or no loading of content.,Dashboard Page,0.255,0.745,0.0,-0.4767,negative
174980203,"Jan 30, 2026",10,General,I have been using HSpot since it was invented and your excellent representative Connor was a standout in our choice of CRM,,Globalhome Page,0.0,0.85,0.15,0.5719,positive
175001975,"Jan 30, 2026",10,General,Love it,,Dashboard Page,,,,,unscored
174992624,"Jan 30, 2026",5,Performance,beaucoup de lenteur,A lot of slowness,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175017244,"Jan 30, 2026",10,Usability,Ayuda a ordenarse,Helps to organize,Dashboard Page,0.0,0.435,0.565,0.3818,positive
175003388,"Jan 30, 2026",10,Usability,Easy navigation.  Like creating messages by products and having them available for future emails and sequences.,,Dashboard Page,0.0,0.631,0.369,0.765,positive
175000136,"Jan 30, 2026",3,Performance,FAR TOO SLOW.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175021953,"Jan 30, 2026",10,Usability,it's very intuiative,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175008000,"Jan 30, 2026",8,Usability,es eficiente,It is efficient,Dashboard Page,0.0,0.417,0.583,0.4215,positive
174991427,"Jan 30, 2026",8,Usability,We can track all our work clearly,,Dashboard Page,0.0,0.69,0.31,0.4019,positive
174996995,"Jan 30, 2026",1,General,Uma porcaria o sistema,The system is a mess,Dashboard Page,0.385,0.615,0.0,-0.3612,negative
175019984,"Jan 30, 2026",10,General,I don't know,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175014053,"Jan 30, 2026",6,Performance,"Sistema lento, trava muito, gera retrabalho, nÃ£o Ã© intuitivo.","Slow system, lags a lot, causes rework, not intuitive.",Dashboard Page,0.238,0.762,0.0,-0.3612,negative
174982191,"Jan 30, 2026",9,General,Orgullo propio,Pride of one's own,Dashboard Page,0.0,0.556,0.444,0.34,positive
174997586,"Jan 30, 2026",10,Usability,The system is easy to use and very helpful,,Dashboard Page,0.0,0.539,0.461,0.7178,positive
175014658,"Jan 30, 2026",0,Expectation Gap,If they're my coworkers/colleagues they already use hubspot so that doesn't make any sense,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
175025239,"Jan 30, 2026",5,General,Because your platform sucks,,Dashboard Page,0.455,0.545,0.0,-0.3612,negative
175016445,"Jan 30, 2026",10,Usability,Facilidade da gestÃ£o das informnaÃ§Ãµes.,Ease of managing information,Dashboard Page,0.0,0.545,0.455,0.3612,positive
175007341,"Jan 30, 2026",8,Functionality,c'est qu'il faut faire plusieurs fois la mÃªme chose ce qui pourrait allÃ©ger,"It's that you have to do the same thing several times, which could be simplified",Dashboard Page,0.0,1.0,0.0,0.0,neutral
174949434,"Jan 29, 2026",0,Performance,"Euer Programm spinnt seit einer Woche rum, die Aufgaben verschwinden beim Anklicken. Der Ladeprozess dauert unheimlich lange und Notizen die man schreibt verschwinden einfach wie von Geisterhand. Bringt das erst in Ordnung dann sprechen wir nochmal Ã¼ber eine bessere Bewertung","Your program has been spinning for a week, tasks disappear when clicked. The loading process takes an extremely long time, and notes you write simply vanish like by magic. Fix this first, then we'll talk about a better review.",Dashboard Page,0.044,0.831,0.125,0.5423,positive
174962743,"Jan 29, 2026",9,Functionality,"Ferramenta muito boa, mas precisa melhorar o whats integrado a ferramenta e tem diversas funÃ§Ãµes que poderia sem implementadas, como a obrigatoriedade que algumas propriedades sejam preenchidas para poder preencher outra","Very good tool, but needs to improve the integrated what's tool and has several functions that could be implemented, such as the mandatory requirement that some properties be filled to be able to fill another",Dashboard Page,0.0,0.812,0.188,0.7504,positive
174959432,"Jan 29, 2026",10,Usability,The AI Assistant has been extremely helpful in understanding how I need to accomplish each task.,,Globalhome Page,0.0,0.704,0.296,0.7089,positive
174967401,"Jan 29, 2026",8,Usability,"Ease of use, set-up. Powerful platform.",,Dashboard Page,0.0,0.43,0.57,0.6486,positive
174969997,"Jan 29, 2026",6,Usability,poor searchabilty,,Dashboard Page,0.756,0.244,0.0,-0.4767,negative
174958528,"Jan 29, 2026",0,Reliability,nÃ£o funciona,Does not work,Dashboard Page,0.0,1.0,0.0,0.0,neutral
174936721,"Jan 29, 2026",2,Usability,Sequence Font does not stick with the one chosen,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
174947816,"Jan 29, 2026",3,General,Expensive,,Globalhome Page,,,,,unscored
174954752,"Jan 29, 2026",0,Usability,It's less useful than a notepad,,Dashboard Page,0.0,0.657,0.343,0.3832,positive
174965762,"Jan 29, 2026",0,Functionality,Default things that are unable to be changed that only align with 1% of use cases.,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
174939490,"Jan 29, 2026",0,Functionality,Sort the data better,,Dashboard Page,0.0,0.508,0.492,0.4404,positive
174934229,"Jan 29, 2026",10,Usability,brilliant system that is easy to use,,Dashboard Page,0.0,0.427,0.573,0.7717,positive
174950422,"Jan 29, 2026",2,Performance,Slow,,Dashboard Page,,,,,unscored
174956020,"Jan 29, 2026",10,Usability,"Still learning HubSpot, but has been somewhat easy to work with",,Dashboard Page,0.0,0.746,0.254,0.5284,positive
174953356,"Jan 29, 2026",1,Functionality,I can do nothing i want you BI is so Restricitive for anything. Its totally frustrating. Not even the simpelest things are possible like Gauge Target to Actual for a Month,,Dashboard Page,0.126,0.802,0.072,-0.2299,negative
174966523,"Jan 29, 2026",10,Usability,intuitive tools,,Globalhome Page,0.0,1.0,0.0,0.0,neutral
174954303,"Jan 29, 2026",5,Usability,Hard to manage emails and working on graphics within an email,,Dashboard Page,0.123,0.877,0.0,-0.1027,negative
174952322,"Jan 29, 2026",5,Performance,Too slow.  Often problems,,Dashboard Page,,,,,unscored
174941179,"Jan 29, 2026",7,Usability,it's soooooo difficult,,Dashboard Page,0.556,0.444,0.0,-0.3612,negative
174958961,"Jan 29, 2026",9,Usability,ease of use and app functions are a time saver,,Dashboard Page,0.0,0.783,0.217,0.3612,positive
174968433,"Jan 29, 2026",0,Expectation Gap,"not seeing any ROI, even with investment Hubspot preferred agency to set up better use of Hubspot.",,Dashboard Page,0.0,0.847,0.153,0.4404,positive
174937733,"Jan 29, 2026",10,General,Es hat sich bewÃ¤hrt! Wird sind Anwender seit Ã¼ber 4 Jahren.,It has proven itself! We have been users for over 4 years.,Dashboard Page,0.0,1.0,0.0,0.0,neutral
174968600,"Jan 29, 2026",7,Functionality,"Should be easier to add contact from deal creation, rather than deleting/canceling and returning to main menu.",,Dashboard Page,0.0,0.754,0.246,0.5994,positive
174935309,"Jan 29, 2026",9,Performance,"Page loading times. I understand it's a lot of data. But more ""fast smoothness"" would be such a big plus in user experience!",,Dashboard Page,0.0,1.0,0.0,0.0,neutral
174938690,"Jan 29, 2026",4,Usability,"Removing the direct links to the HubSpot community and Knowledge base, and instead forcing users to interact with an AI bot before being able to access resources is anti-consumer. It adds a genuinely unnecessary layer of frustration. Why do I need to first spend time outlining what I'm looking for to a bot who will just direct me to the wrong information. 

Please add back the direct links to the HS knowledge base and community under the help section.",,Dashboard Page,0.072,0.87,0.058,-0.296,negative
174955810,"Jan 29, 2026",0,Performance,it doesnt update quickly enough. I answer all tickets and the reporting still shows open activity - its quite frustrating.,,Dashboard Page,0.144,0.856,0.0,-0.4927,negative
174940610,"Jan 29, 2026",5,Performance,slow and strustured enough for sales,,Dashboard Page,0.0,1.0,0.0,0.0,neutral
